date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:01:58	108343/108343	---M--	200	added ('OK')	image/jpeg	etag:%221a737-5e41e891cd143%22	./wp-content/uploads/2018/08/1605_wig_experts_banner_fav_short_summer_styles.jpg	/home/lumiq/websites/wigs/localhost/wp-content/uploads/2018/08/1605_wig_experts_banner_fav_short_summer_styles.jpg	(from ./)
08:02:21	261655/261655	---M--	200	added ('OK')	image/jpeg	etag:%223fe17-5e41e891ce0e3%22	./wp-content/uploads/2018/08/aliwigs-Banner5.jpg	/home/lumiq/websites/wigs/localhost/wp-content/uploads/2018/08/aliwigs-Banner5.jpg	(from ./)
08:02:27	181760/181760	---M--	200	added ('OK')	image/jpeg	etag:%222c600-5e41e891cd143%22	./wp-content/uploads/2018/08/17_7_11-PERMANENT-ROOT-TO-TIP-CURLS.jpg	/home/lumiq/websites/wigs/localhost/wp-content/uploads/2018/08/17_7_11-PERMANENT-ROOT-TO-TIP-CURLS.jpg	(from ./)
08:02:32	8967/8967	---M--	200	added ('OK')	image/jpeg	etag:%222307-5e41e891cd143%22	./wp-content/uploads/2018/08/20-1_202-500x500-300x300.jpg	/home/lumiq/websites/wigs/localhost/wp-content/uploads/2018/08/20-1_202-500x500-300x300.jpg	(from ./)
08:02:40	94777/94777	---M--	200	added ('OK')	image/jpeg	etag:%2217239-5e41e891cd143%22	./wp-content/uploads/2018/08/20-1_201-500x500.jpg	/home/lumiq/websites/wigs/localhost/wp-content/uploads/2018/08/20-1_201-500x500.jpg	(from ./)
08:02:41	234617/234617	---M--	200	added ('OK')	image/jpeg	etag:%2239479-5e41e891ce0e3%22	./wp-content/uploads/2018/08/wigscom_human_hair_wigs_banner_opt.jpg	/home/lumiq/websites/wigs/localhost/wp-content/uploads/2018/08/wigscom_human_hair_wigs_banner_opt.jpg	(from ./)
08:02:43	85427/85427	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20Jul%202022%2002:32:41%20GMT	./?page_id=111	/home/lumiq/websites/wigs/localhost/indexcf20.html	(from ./)
08:02:44	15091/15091	---M--	200	added ('OK')	image/jpeg	etag:%223af3-5e41e891cd143%22	./wp-content/uploads/2018/08/20-8_204-500x500-300x300.jpg	/home/lumiq/websites/wigs/localhost/wp-content/uploads/2018/08/20-8_204-500x500-300x300.jpg	(from ./)
08:02:46	61867/61867	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20Jul%202022%2002:32:44%20GMT	./?page_id=8	/home/lumiq/websites/wigs/localhost/index3f35.html	(from ./)
08:02:50	13021/13021	---M--	200	added ('OK')	image/jpeg	etag:%2232dd-5e41e891ce0e3%22	./wp-content/uploads/2018/09/24-6_202-500x500-300x300.jpg	/home/lumiq/websites/wigs/localhost/wp-content/uploads/2018/09/24-6_202-500x500-300x300.jpg	(from ./)
08:03:01	158287/158287	---M--	200	added ('OK')	image/jpeg	etag:%2226a4f-5e41e891cd143%22	./wp-content/uploads/2018/08/20-8_201-500x500.jpg	/home/lumiq/websites/wigs/localhost/wp-content/uploads/2018/08/20-8_201-500x500.jpg	(from ./)
08:03:05	14867/14867	---M--	200	added ('OK')	image/jpeg	etag:%223a13-5e41e891ce0e3%22	./wp-content/uploads/2018/09/26-7_20brown_20hair_201-500x500-300x300.jpg	/home/lumiq/websites/wigs/localhost/wp-content/uploads/2018/09/26-7_20brown_20hair_201-500x500-300x300.jpg	(from ./)
08:03:09	139333/139333	---M--	200	added ('OK')	image/jpeg	etag:%2222045-5e41e891ce0e3%22	./wp-content/uploads/2018/09/24-6_201-500x500.jpg	/home/lumiq/websites/wigs/localhost/wp-content/uploads/2018/09/24-6_201-500x500.jpg	(from ./)
08:03:14	19917/19917	---M--	200	added ('OK')	image/jpeg	etag:%224dcd-5e41e891cf083%22	./wp-content/uploads/2018/09/50-20_20FC3-5_20_3_-500x500-300x300.jpg	/home/lumiq/websites/wigs/localhost/wp-content/uploads/2018/09/50-20_20FC3-5_20_3_-500x500-300x300.jpg	(from ./)
08:03:17	137800/137800	---M--	200	added ('OK')	image/jpeg	etag:%2221a48-5e41e891ce0e3%22	./wp-content/uploads/2018/09/26-7_20brown_20hair_203-500x500.jpg	/home/lumiq/websites/wigs/localhost/wp-content/uploads/2018/09/26-7_20brown_20hair_203-500x500.jpg	(from ./)
08:03:22	11398/11398	---M--	200	added ('OK')	image/jpeg	etag:%222c86-5e41e891cf083%22	./wp-content/uploads/2018/09/50-40_20L1-2_20_2_-500x500-300x300.jpg	/home/lumiq/websites/wigs/localhost/wp-content/uploads/2018/09/50-40_20L1-2_20_2_-500x500-300x300.jpg	(from ./)
08:03:39	878996/878996	---MC-	200	added ('OK')	application/json	date:Tue,%2019%20Jul%202022%2002:31:12%20GMT	./index.php?rest_route=/	/home/lumiq/websites/wigs/localhost/index52f0.json	(from ./)
08:03:41	139584/139584	---M--	200	added ('OK')	image/jpeg	etag:%2222140-5e41e891cf083%22	./wp-content/uploads/2018/09/50-40_20L1-2_20_1_-500x500.jpg	/home/lumiq/websites/wigs/localhost/wp-content/uploads/2018/09/50-40_20L1-2_20_1_-500x500.jpg	(from ./)
08:03:42	11855/11855	---M--	200	added ('OK')	image/jpeg	etag:%222e4f-5e41e891cf083%22	./wp-content/uploads/2018/09/64_202-500x500-300x300.jpg	/home/lumiq/websites/wigs/localhost/wp-content/uploads/2018/09/64_202-500x500-300x300.jpg	(from ./)
08:03:44	66004/66004	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20Jul%202022%2002:33:42%20GMT	./?page_id=6	/home/lumiq/websites/wigs/localhost/index5534.html	(from ./)
08:03:45	20264/20264	---M--	200	added ('OK')	image/jpeg	etag:%224f28-5e41e891ce0e3%22	./wp-content/uploads/2018/09/2-300x300.jpg	/home/lumiq/websites/wigs/localhost/wp-content/uploads/2018/09/2-300x300.jpg	(from ./)
08:03:47	97910/97910	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20Jul%202022%2002:33:45%20GMT	./?product=virgin-remy-lace-wig-grade-7a	/home/lumiq/websites/wigs/localhost/indexf1c6.html	(from ./)
08:03:47	148024/148024	---M--	200	added ('OK')	image/jpeg	etag:%2224238-5e41e891cf083%22	./wp-content/uploads/2018/09/64_201-500x500.jpg	/home/lumiq/websites/wigs/localhost/wp-content/uploads/2018/09/64_201-500x500.jpg	(from ./)
08:03:49	20751/20751	---M--	200	added ('OK')	image/jpeg	etag:%22510f-5e41e891ce0e3%22	./wp-content/uploads/2018/09/3-300x300.jpg	/home/lumiq/websites/wigs/localhost/wp-content/uploads/2018/09/3-300x300.jpg	(from ./)
08:03:49	99859/99859	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20Jul%202022%2002:33:48%20GMT	./?product=virgin-remy-lace-wig-grade-7a-2	/home/lumiq/websites/wigs/localhost/index6c42.html	(from ./)
08:03:51	14440/14440	---M-Z	200	added ('OK')	application/javascript	etag:%223868-5e41e891a7f84-gzip%22	./wp-content/plugins/contact-form-7/includes/js/scripts.js?ver=5.1.4	/home/lumiq/websites/wigs/localhost/wp-content/plugins/contact-form-7/includes/js/scripts58e0.js	(from ./)
08:03:51	274918/274918	---M--	200	added ('OK')	image/jpeg	etag:%22431e6-5e41e891cf083%22	./wp-content/uploads/2018/09/50-20_20FC3-5_20_2_-500x500.jpg	/home/lumiq/websites/wigs/localhost/wp-content/uploads/2018/09/50-20_20FC3-5_20_2_-500x500.jpg	(from ./)
08:03:51	98918/98918	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20Jul%202022%2002:33:50%20GMT	./?product=virgin-remy-lace-wig-grade-7a-4	/home/lumiq/websites/wigs/localhost/index9dec.html	(from ./)
08:03:51	99434/99434	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20Jul%202022%2002:33:49%20GMT	./?product=virgin-remy-lace-wig-grade-7a-3	/home/lumiq/websites/wigs/localhost/indexf116.html	(from ./)
08:03:53	9566/9566	---M-Z	200	added ('OK')	application/javascript	etag:%22255e-5e41e891b8923-gzip%22	./wp-content/plugins/woocommerce/assets/js/jquery-blockui/jquery.blockUI.min.js?ver=2.70	/home/lumiq/websites/wigs/localhost/wp-content/plugins/woocommerce/assets/js/jquery-blockui/jquery.blockUI.min44fd.js	(from ./)
08:03:53	101528/101528	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20Jul%202022%2002:33:52%20GMT	./?product=virgin-remy-lace-wig-grade-7a-6	/home/lumiq/websites/wigs/localhost/indexfd18.html	(from ./)
08:03:53	99640/99640	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20Jul%202022%2002:33:52%20GMT	./?product=virgin-remy-lace-wig-grade-7a-5	/home/lumiq/websites/wigs/localhost/index6478.html	(from ./)
08:03:53	97808/97808	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20Jul%202022%2002:33:52%20GMT	./?product=virgin-remy-lace-wig-grade-7a-7	/home/lumiq/websites/wigs/localhost/index76ef.html	(from ./)
08:03:55	2750/2750	---M-Z	200	added ('OK')	application/javascript	etag:%22abe-5e41e891b8923-gzip%22	./wp-content/plugins/woocommerce/assets/js/frontend/add-to-cart.min.js?ver=3.7.0	/home/lumiq/websites/wigs/localhost/wp-content/plugins/woocommerce/assets/js/frontend/add-to-cart.min3088.js	(from ./)
08:03:55	98451/98451	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20Jul%202022%2002:33:54%20GMT	./?product=virgin-remy-lace-wig-grade-7a-8	/home/lumiq/websites/wigs/localhost/indexb1b3.html	(from ./)
08:03:55	61578/61578	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20Jul%202022%2002:33:54%20GMT	./?page_id=8&lost-password	/home/lumiq/websites/wigs/localhost/index96f1.html	(from ./)
08:03:57	1846/1846	---M-Z	200	added ('OK')	application/javascript	etag:%22736-5e41e891b8923-gzip%22	./wp-content/plugins/woocommerce/assets/js/js-cookie/js.cookie.min.js?ver=2.1.4	/home/lumiq/websites/wigs/localhost/wp-content/plugins/woocommerce/assets/js/js-cookie/js.cookie.min6b25.js	(from ./)
08:03:57	1472/1472	---M-Z	200	added ('OK')	application/javascript	etag:%225c0-5e41e891b8923-gzip%22	./wp-content/plugins/woocommerce/assets/js/frontend/woocommerce.min.js?ver=3.7.0	/home/lumiq/websites/wigs/localhost/wp-content/plugins/woocommerce/assets/js/frontend/woocommerce.min3088.js	(from ./)
08:03:58	2940/2940	---M-Z	200	added ('OK')	application/javascript	etag:%22b7c-5e41e891b8923-gzip%22	./wp-content/plugins/woocommerce/assets/js/frontend/cart-fragments.min.js?ver=3.7.0	/home/lumiq/websites/wigs/localhost/wp-content/plugins/woocommerce/assets/js/frontend/cart-fragments.min3088.js	(from ./)
08:03:59	15876/15876	---M-Z	200	added ('OK')	application/javascript	etag:%223e04-5e41e891c7383-gzip%22	./wp-content/themes/flatsome/inc/extensions/flatsome-live-search/flatsome-live-search.js?ver=3.2.5	/home/lumiq/websites/wigs/localhost/wp-content/themes/flatsome/inc/extensions/flatsome-live-search/flatsome-live-search2072.js	(from ./)
08:04:00	2210/2210	---M-Z	200	added ('OK')	application/javascript	etag:%228a2-5e41e891a7f84-gzip%22	./wp-content/plugins/godaddy-email-marketing-sign-up-forms/js/gem.min.js?ver=1.4.2	/home/lumiq/websites/wigs/localhost/wp-content/plugins/godaddy-email-marketing-sign-up-forms/js/gem.min1159.js	(from ./)
08:04:01	1950/1950	---M-Z	200	added ('OK')	application/javascript	etag:%2279e-5e41e891aece4-gzip%22	./wp-content/plugins/variation-swatches-for-woocommerce/assets/js/frontend.js?ver=20160615	/home/lumiq/websites/wigs/localhost/wp-content/plugins/variation-swatches-for-woocommerce/assets/js/frontendd0f1.js	(from ./)
08:04:02	1499/1499	---M-Z	200	added ('OK')	application/javascript	etag:%225db-5e41ee714f299-gzip%22	./wp-includes/js/hoverIntent.min.js?ver=1.10.2	/home/lumiq/websites/wigs/localhost/wp-includes/js/hoverIntent.min3e5a.js	(from ./)
08:04:05	134006/134006	---M-Z	200	added ('OK')	application/javascript	etag:%2220b76-5e41e891c15c3-gzip%22	./wp-content/themes/flatsome/assets/js/flatsome.js?ver=3.2.5	/home/lumiq/websites/wigs/localhost/wp-content/themes/flatsome/assets/js/flatsome2072.js	(from ./)
08:04:05	9257/9257	---M-Z	200	added ('OK')	application/javascript	etag:%222429-5e41e891c15c3-gzip%22	./wp-content/themes/flatsome/assets/js/woocommerce.js?ver=3.2.5	/home/lumiq/websites/wigs/localhost/wp-content/themes/flatsome/assets/js/woocommerce2072.js	(from ./)
08:04:07	18911/18911	---M-Z	200	added ('OK')	application/javascript	etag:%2249df-5e41ee715217e-gzip%22	./wp-includes/js/underscore.min.js?ver=1.13.3	/home/lumiq/websites/wigs/localhost/wp-includes/js/underscore.minb37e.js	(from ./)
08:04:07	1340/1340	---M-Z	200	added ('OK')	application/javascript	etag:%2253c-5e41ee714e2f8-gzip%22	./wp-includes/js/wp-util.min.js?ver=6.0.1	/home/lumiq/websites/wigs/localhost/wp-includes/js/wp-util.min37ad.js	(from ./)
08:04:07	13277/13277	---M-Z	200	added ('OK')	application/javascript	etag:%2233dd-5e41e891b8923-gzip%22	./wp-content/plugins/woocommerce/assets/js/frontend/add-to-cart-variation.min.js?ver=3.7.0	/home/lumiq/websites/wigs/localhost/wp-content/plugins/woocommerce/assets/js/frontend/add-to-cart-variation.min3088.js	(from ./)
08:04:08	25/25	---M--	200	added ('OK')	text/plain	etag:%227f564a4-19-3ef0a6a1b08c0%22	http://gmpg.org/robots.txt		(from ./)
08:04:09	2067/2067	---M-Z	200	added ('OK')	text/css	etag:%2264e18331-813-3ef0a663b3680-gzip%22	http://gmpg.org/xfn/default.css	/home/lumiq/websites/wigs/gmpg.org/xfn/default.css	(from http://gmpg.org/xfn/11)
08:04:10	4170/4170	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20Jul%202022%2002:34:10%20GMT	http://gmpg.org/xfn/.	/home/lumiq/websites/wigs/gmpg.org/xfn/.html	(from http://gmpg.org/xfn/11)
08:04:11	16269/16269	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20Jul%202022%2002:34:11%20GMT	http://gmpg.org/xfn/intro	/home/lumiq/websites/wigs/gmpg.org/xfn/intro.html	(from http://gmpg.org/xfn/11)
08:04:12	7342/7342	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20Jul%202022%2002:34:12%20GMT	http://gmpg.org/xfn/faq	/home/lumiq/websites/wigs/gmpg.org/xfn/faq.html	(from http://gmpg.org/xfn/11)
08:04:14	24/24	---MC-	200	added ('OK')	text/plain	date:Tue,%2019%20Jul%202022%2002:34:13%20GMT	http://s.w.org/robots.txt		(from ./)
08:04:14	3203/3203	---M--	200	added ('OK')	application/json	date:Tue,%2019%20Jul%202022%2002:34:14%20GMT	./index.php?rest_route=/wp/v2/pages/1008	/home/lumiq/websites/wigs/localhost/index0863.json	(from ./?page_id=1008)
08:04:15	2366/2366	---M--	200	added ('OK')	application/json	date:Tue,%2019%20Jul%202022%2002:34:15%20GMT	./index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=http%3A%2F%2Flocalhost%2F%3Fpage_id%3D1008	/home/lumiq/websites/wigs/localhost/indexa393.json	(from ./?page_id=1008)
08:04:16	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2019%20Jul%202022%2002:34:16%20GMT	./?p=1008	/home/lumiq/websites/wigs/localhost/index4192.html	(from ./?page_id=1008)
08:04:16	2440/2440	---M-Z	200	added ('OK')	text/xml	date:Tue,%2019%20Jul%202022%2002:34:16%20GMT	./index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=http%3A%2F%2Flocalhost%2F%3Fpage_id%3D1008&format=xml	/home/lumiq/websites/wigs/localhost/index591a.php	(from ./?page_id=1008)
08:04:17	9083/9083	---MC-	200	added ('OK')	application/json	date:Tue,%2019%20Jul%202022%2002:34:17%20GMT	./index.php?rest_route=/wp/v2/pages/1178	/home/lumiq/websites/wigs/localhost/index44fe.json	(from ./?page_id=1178)
08:04:18	2360/2360	---M--	200	added ('OK')	application/json	date:Tue,%2019%20Jul%202022%2002:34:18%20GMT	./index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=http%3A%2F%2Flocalhost%2F%3Fpage_id%3D1178	/home/lumiq/websites/wigs/localhost/index8130.json	(from ./?page_id=1178)
08:04:19	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2019%20Jul%202022%2002:34:19%20GMT	./?p=1178	/home/lumiq/websites/wigs/localhost/index5e52.html	(from ./?page_id=1178)
08:04:19	2434/2434	---M-Z	200	added ('OK')	text/xml	date:Tue,%2019%20Jul%202022%2002:34:19%20GMT	./index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=http%3A%2F%2Flocalhost%2F%3Fpage_id%3D1178&format=xml	/home/lumiq/websites/wigs/localhost/indexfbcd.php	(from ./?page_id=1178)
08:04:20	4187/4187	---M--	200	added ('OK')	application/json	date:Tue,%2019%20Jul%202022%2002:34:20%20GMT	./index.php?rest_route=/wp/v2/pages/329	/home/lumiq/websites/wigs/localhost/index2caa.json	(from ./?page_id=329)
08:04:21	2340/2340	---M--	200	added ('OK')	application/json	date:Tue,%2019%20Jul%202022%2002:34:21%20GMT	./index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=http%3A%2F%2Flocalhost%2F%3Fpage_id%3D329	/home/lumiq/websites/wigs/localhost/index5554.json	(from ./?page_id=329)
08:04:22	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2019%20Jul%202022%2002:34:22%20GMT	./?p=329	/home/lumiq/websites/wigs/localhost/index834e.html	(from ./?page_id=329)
08:04:22	2414/2414	---M-Z	200	added ('OK')	text/xml	date:Tue,%2019%20Jul%202022%2002:34:22%20GMT	./index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=http%3A%2F%2Flocalhost%2F%3Fpage_id%3D329&format=xml	/home/lumiq/websites/wigs/localhost/index9e7c.php	(from ./?page_id=329)
08:04:25	96511/96511	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20Jul%202022%2002:34:24%20GMT	./?post_type=product	/home/lumiq/websites/wigs/localhost/index9844.html	(from ./?page_id=5)
